SYMB,ED,TRAN,ANUM,BNUM,CNUM,TYPE
GEF Cash,20240904,TXIN,1,250000.00,0,cash
GEF Cash,20241015,TXOUT,1,52,0,cash
GEF Cash,20241115,TXOUT,1,10.99,0,cash
GEF Cash,20241216,TXOUT,1,11.25,0,cash
GEF Cash,20250115,TXOUT,1,11.38,0,cash
GEF Cash,20250217,TXOUT,1,11.61,0,cash
GEF Cash,20250317,TXOUT,1,11.9,0,cash
GEF Cash,20250415,TXOUT,1,387.14,0,cash
GEF Cash,20250515,TXOUT,1,21.34,0,cash
GEF Cash,20250616,TXOUT,1,21.78,0,cash
GEF Cash,20250702,TXOUT,1,6.03,0,cash
GEF Cash,20250715,TXOUT,1,34.27,0,cash
GEF Cash,20250815,TXOUT,1,21.64,0,cash
GEF Cash,20250915,TXOUT,1,171.65,0,cash
GEF Cash,20251015,TXOUT,1,23.74,0,cash
GEF Cash,20251117,TXOUT,1,171.6,0,cash
GEF Cash,20251210,TXIN,1,634000.00,0,cash
GEF Cash,20260115,TXOUT,1,20.32,0,cash
GEF Cash,20260226,TXOUT,1,1797.47,0,cash
GEF Cash,20260306,TXOUT,1,232.09,0,cash
GEF Cash,20260316,TXOUT,1,512.52,0,cash
GEF Cash,20260323,TXOUT,1,349.64,0,cash
GEF Cash,20260415,TXOUT,1,1111.25,0,cash
GEF Cash,20260420,TXIN,1,3.51,0,cash
GEF Cash,20260515,TXOUT,1,1675,0,cash
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,8867,,,
